Wavlength (nm);475-20 REF;475-20;475-20 %;110%;560-20 REF;560-20;560-20 %;100%;668-10 REF;668-10;668-10 %;97%;717-10 REF;717-10;717-10 %;107%;840-40 REF;840-40;840-40 %;106%;;;;
476;2.002286;1.504587;82.7%;;2.007787;0.004326;0.2%;;2.006057;0.03638;1.8%;;1.984939;0.004082;0.2%;;1.999624;0.000732;0.0%;;;;;
477;2.027652;1.554788;84.3%;;2.032965;0.003505;0.2%;;2.039818;0.043151;2.1%;;2.012584;0.003572;0.2%;;2.026134;0.001138;0.1%;;;;;
478;2.047989;1.588761;85.3%;;2.057122;0.003898;0.2%;;2.064606;0.048425;2.3%;;2.036607;0.001604;0.1%;;2.049459;0.000841;0.0%;;;;;
479;2.077035;1.606073;85.1%;;2.08566;0.004144;0.2%;;2.097529;0.04225;2.0%;;2.06895;0.002522;0.1%;;2.080007;0.000388;0.0%;;;;;
480;2.114024;1.615769;84.1%;;2.122519;0.003018;0.1%;;2.134926;0.025439;1.2%;;2.09746;0.001073;0.1%;;2.115455;0.000632;0.0%;;;;;
481;2.134728;1.625218;83.7%;;2.145469;0.002407;0.1%;;2.159886;0.017537;0.8%;;2.114005;0.002674;0.1%;;2.137291;0.000724;0.0%;;;;;
482;2.170159;1.640176;83.1%;;2.183735;0.003002;0.1%;;2.191889;0.013621;0.6%;;2.156493;0.000538;0.0%;;2.17567;0.000633;0.0%;;;;;
483;2.228545;1.641025;81.0%;;2.241548;0.003763;0.2%;;2.238438;0.0112;0.5%;;2.21624;0;0.0%;;2.236658;0.001093;0.1%;;;;;
484;2.273402;1.625842;78.7%;;2.2864;0.004196;0.2%;;2.286105;0.010979;0.5%;;2.260632;0;0.0%;;2.278143;0.001072;0.0%;;;;;
485;2.325756;1.611296;76.2%;;2.337517;0.003642;0.2%;;2.341498;0.010631;0.4%;;2.313112;0.000181;0.0%;;2.335165;0.000995;0.0%;;;;;
486;2.366009;1.584537;73.7%;;2.380926;0.003701;0.2%;;2.379451;0.011875;0.5%;;2.358857;0.00109;0.0%;;2.371617;0.000874;0.0%;;;;;
487;2.427034;1.542348;69.9%;;2.431236;0.002824;0.1%;;2.43973;0.014578;0.6%;;2.409105;0.002204;0.1%;;2.428572;0.000643;0.0%;;;;;
488;2.444413;1.506175;67.8%;;2.453913;0.002593;0.1%;;2.465317;0.01737;0.7%;;2.433238;0.001652;0.1%;;2.449301;0.000757;0.0%;;;;;
489;2.465425;1.437562;64.1%;;2.478315;0.003015;0.1%;;2.486694;0.016596;0.6%;;2.454722;0.003499;0.2%;;2.476382;0.001024;0.0%;;;;;
490;2.484008;1.276774;56.5%;;2.494822;0.002524;0.1%;;2.519438;0.015631;0.6%;;2.472546;0.006484;0.3%;;2.489149;0.001418;0.1%;;;;;
491;2.517015;0.858712;37.5%;;2.531168;0.00258;0.1%;;2.531772;0.014734;0.6%;;2.498214;0.002975;0.1%;;2.522151;0.002452;0.1%;;;;;
492;2.526492;0.564127;24.6%;;2.54222;0.00158;0.1%;;2.53697;0.014241;0.5%;;2.514156;0.003345;0.1%;;2.529652;0.003218;0.1%;;;;;
493;2.545687;0.341573;14.8%;;2.555056;0.001911;0.1%;;2.560766;0.013378;0.5%;;2.530257;0.001678;0.1%;;2.546665;0.003292;0.1%;;;;;
494;2.563758;0.197428;8.5%;;2.57026;0.002737;0.1%;;2.584036;0.012162;0.5%;;2.542661;0.001871;0.1%;;2.56205;0.002725;0.1%;;;;;
495;2.587157;0.088096;3.7%;;2.594377;0.002587;0.1%;;2.599316;0.012017;0.4%;;2.5726;0.003575;0.1%;;2.587934;0.001246;0.1%;;;;;
496;2.610383;0.053953;2.3%;;2.612341;0.002313;0.1%;;2.628249;0.012745;0.5%;;2.596765;0.002643;0.1%;;2.610689;0.001316;0.1%;;;;;
497;2.629871;0.034516;1.4%;;2.638065;0.002919;0.1%;;2.635428;0.01455;0.5%;;2.612355;0.003579;0.1%;;2.631849;0.001218;0.0%;;;;;
498;2.651819;0.023914;1.0%;;2.661645;0.003362;0.1%;;2.672678;0.016716;0.6%;;2.641472;0.001326;0.1%;;2.658377;0.001071;0.0%;;;;;
499;2.67165;0.015391;0.6%;;2.678968;0.002715;0.1%;;2.688835;0.022473;0.8%;;2.65489;0.002644;0.1%;;2.668416;0.000761;0.0%;;;;;
500;2.687572;0.011941;0.5%;;2.696014;0.003783;0.1%;;2.700152;0.028824;1.0%;;2.674236;0.001135;0.0%;;2.685444;0.000934;0.0%;;;;;
501;2.704893;0.010227;0.4%;;2.708096;0.003559;0.1%;;2.723354;0.034289;1.2%;;2.686408;0.001139;0.0%;;2.699483;0.00102;0.0%;;;;;
502;2.726112;0.00876;0.4%;;2.732483;0.004018;0.1%;;2.750051;0.041674;1.5%;;2.713013;0.003043;0.1%;;2.727063;0.000779;0.0%;;;;;
503;2.760428;0.008256;0.3%;;2.758408;0.004704;0.2%;;2.769029;0.045951;1.6%;;2.738759;0.003802;0.1%;;2.757078;0.000499;0.0%;;;;;
504;2.776782;0.008875;0.4%;;2.780981;0.003984;0.1%;;2.797132;0.050433;1.7%;;2.764639;0.003054;0.1%;;2.777403;0.000948;0.0%;;;;;
505;2.800974;0.010257;0.4%;;2.816998;0.004919;0.2%;;2.82058;0.05717;2.0%;;2.788532;0.001719;0.1%;;2.806443;0.000901;0.0%;;;;;
506;2.838147;0.010108;0.4%;;2.845781;0.002759;0.1%;;2.866448;0.082906;2.8%;;2.823045;0.002093;0.1%;;2.837576;0.001142;0.0%;;;;;
507;2.865625;0.008368;0.3%;;2.875199;0.002531;0.1%;;2.898717;0.101878;3.4%;;2.851753;0.001146;0.0%;;2.864049;0.001468;0.1%;;;;;
508;2.894753;0.006236;0.2%;;2.906768;0.003196;0.1%;;2.909675;0.106306;3.5%;;2.87625;0.000961;0.0%;;2.896724;0.001334;0.0%;;;;;
509;2.930891;0.003933;0.1%;;2.948095;0.003957;0.1%;;2.940591;0.081747;2.7%;;2.915594;0.000193;0.0%;;2.932532;0.000971;0.0%;;;;;
510;2.949611;0.002717;0.1%;;2.958989;0.003583;0.1%;;2.973609;0.065381;2.1%;;2.940714;0.003078;0.1%;;2.953074;0.001268;0.0%;;;;;
511;2.979628;0.002418;0.1%;;2.992565;0.004087;0.1%;;3.00277;0.056174;1.8%;;2.976702;0.001741;0.1%;;2.980571;0.001306;0.0%;;;;;
512;3.01769;0.002538;0.1%;;3.03003;0.005028;0.2%;;3.025342;0.058129;1.9%;;3.003358;0.000389;0.0%;;3.014727;0.001245;0.0%;;;;;
513;3.053175;0.002151;0.1%;;3.062878;0.004057;0.1%;;3.070331;0.085708;2.7%;;3.032793;0.002737;0.1%;;3.05298;0.001546;0.1%;;;;;
514;3.073253;0.001827;0.1%;;3.081099;0.004684;0.2%;;3.079506;0.109562;3.5%;;3.051698;0.001177;0.0%;;3.075827;0.001073;0.0%;;;;;
515;3.1149;0.001459;0.1%;;3.115808;0.005395;0.2%;;3.102294;0.109356;3.4%;;3.084661;0.000981;0.0%;;3.111712;0.000754;0.0%;;;;;
516;3.147552;0.002195;0.1%;;3.157869;0.005357;0.2%;;3.165135;0.062419;1.9%;;3.132103;0.000198;0.0%;;3.152463;0.000918;0.0%;;;;;
517;3.173304;0.001853;0.1%;;3.183504;0.005274;0.2%;;3.198008;0.036721;1.1%;;3.154023;0;0.0%;;3.177807;0.000865;0.0%;;;;;
518;3.19758;0.001784;0.1%;;3.208909;0.006214;0.2%;;3.233239;0.021485;0.6%;;3.182807;0;0.0%;;3.20297;0.00093;0.0%;;;;;
519;3.217725;0.001544;0.1%;;3.231862;0.006955;0.2%;;3.242884;0.015844;0.5%;;3.204041;0.000402;0.0%;;3.223124;0.001017;0.0%;;;;;
520;3.264659;0.001223;0.0%;;3.274266;0.007517;0.2%;;3.282471;0.01162;0.3%;;3.25253;0.002039;0.1%;;3.270749;0.001045;0.0%;;;;;
521;3.290917;0.001528;0.1%;;3.303017;0.009323;0.3%;;3.310328;0.012125;0.4%;;3.275073;0.005298;0.2%;;3.293465;0.001102;0.0%;;;;;
522;3.316955;0.002292;0.1%;;3.328516;0.012076;0.4%;;3.362608;0.012488;0.4%;;3.302999;0.007828;0.3%;;3.317109;0.001313;0.0%;;;;;
523;3.362012;0.002021;0.1%;;3.369941;0.022336;0.7%;;3.377585;0.012671;0.4%;;3.334261;0.024668;0.8%;;3.361157;0.001458;0.0%;;;;;
524;3.389528;0.001345;0.0%;;3.397809;0.031141;0.9%;;3.386262;0.012227;0.4%;;3.366825;0.049534;1.6%;;3.385975;0.001803;0.1%;;;;;
525;3.410298;0.001529;0.0%;;3.422767;0.037223;1.1%;;3.422035;0.011266;0.3%;;3.391844;0.049143;1.6%;;3.413853;0.001425;0.0%;;;;;
526;3.441804;0.001556;0.0%;;3.453566;0.037131;1.1%;;3.460344;0.012104;0.3%;;3.427037;0.031013;1.0%;;3.447184;0.001773;0.1%;;;;;
527;3.476322;0.001684;0.1%;;3.481148;0.037362;1.1%;;3.493001;0.012887;0.4%;;3.464177;0.011243;0.3%;;3.477886;0.001816;0.1%;;;;;
528;3.509485;0.00186;0.1%;;3.514756;0.037327;1.1%;;3.533272;0.013459;0.4%;;3.492494;0.007492;0.2%;;3.512268;0.002094;0.1%;;;;;
529;3.542336;0.001359;0.0%;;3.548308;0.037421;1.1%;;3.556647;0.015845;0.4%;;3.524742;0.006026;0.2%;;3.54473;0.001964;0.1%;;;;;
530;3.575172;0.001486;0.0%;;3.585205;0.040785;1.1%;;3.596492;0.014831;0.4%;;3.558542;0.002399;0.1%;;3.585505;0.002092;0.1%;;;;;
531;3.606434;0.002211;0.1%;;3.616878;0.04153;1.1%;;3.602289;0.017657;0.5%;;3.585599;0.002211;0.1%;;3.606959;0.001996;0.1%;;;;;
