Wavlength (nm);Band 1;Band 2;Band 3;Band 5;Band 4
809;0.1%;0.3%;0.2%;0.4%;10.5%
810;0.1%;0.3%;0.1%;0.5%;12.8%
811;0.1%;0.3%;0.1%;0.4%;17.3%
812;0.1%;0.2%;0.2%;0.5%;23.4%
813;0.1%;0.3%;0.2%;0.5%;31.0%
814;0.1%;0.2%;0.1%;0.7%;39.5%
815;0.0%;0.2%;0.1%;0.7%;45.1%
816;0.1%;0.3%;0.2%;0.7%;53.5%
817;0.1%;0.3%;0.3%;1.0%;60.4%
818;0.1%;0.3%;0.2%;1.1%;65.6%
819;0.1%;0.3%;0.2%;1.2%;69.6%
820;0.0%;0.3%;0.2%;0.8%;72.0%
821;0.0%;0.2%;0.1%;0.5%;74.5%
822;0.0%;0.3%;0.3%;0.3%;76.2%
823;0.1%;0.1%;0.2%;0.4%;77.5%
824;0.1%;0.2%;0.2%;0.3%;78.2%
825;0.1%;0.2%;0.2%;0.3%;79.1%
826;0.1%;0.3%;0.2%;0.5%;78.9%
827;0.1%;0.2%;0.3%;0.3%;79.2%
828;0.1%;0.2%;0.3%;0.2%;79.2%
829;0.1%;0.3%;0.3%;0.4%;79.6%
830;0.1%;0.3%;0.1%;0.3%;80.0%
831;0.1%;0.3%;0.3%;0.3%;80.6%
832;0.1%;0.4%;0.2%;0.6%;80.8%
833;0.1%;0.3%;0.2%;0.3%;81.3%
834;0.1%;0.1%;0.3%;0.5%;81.7%
835;0.0%;0.1%;0.2%;0.0%;81.9%
836;0.1%;0.2%;0.3%;0.5%;82.2%
837;0.1%;0.1%;0.5%;0.5%;82.3%
838;0.1%;0.1%;0.4%;0.3%;82.4%
839;0.1%;0.2%;0.2%;0.6%;82.6%
840;0.1%;0.2%;0.2%;0.2%;82.7%
841;0.1%;0.2%;0.3%;0.1%;82.2%
842;0.0%;0.2%;0.2%;0.0%;81.5%
843;0.1%;0.2%;0.2%;0.1%;81.1%
844;0.1%;0.3%;0.4%;0.1%;80.6%
845;0.1%;0.2%;0.2%;0.4%;79.9%
846;0.1%;0.2%;0.2%;0.2%;79.3%
847;0.0%;0.3%;0.2%;0.2%;78.5%
848;0.1%;0.2%;0.3%;0.1%;77.6%
849;0.1%;0.2%;0.4%;0.0%;76.9%
850;0.1%;0.3%;0.3%;0.1%;76.0%
851;0.2%;0.5%;0.4%;0.3%;75.2%
852;0.1%;0.4%;0.5%;0.2%;74.4%
853;0.3%;0.4%;0.3%;0.1%;74.0%
854;0.3%;0.4%;0.4%;0.1%;73.4%
855;0.2%;0.5%;0.3%;0.2%;73.2%
856;0.1%;0.5%;0.4%;0.2%;72.0%
857;0.1%;0.5%;0.3%;0.2%;70.9%
858;0.1%;0.4%;0.5%;0.3%;69.4%
859;0.3%;0.4%;0.5%;0.1%;67.5%
860;0.1%;0.4%;0.4%;0.2%;64.8%
861;0.2%;0.4%;0.4%;0.2%;62.3%
862;0.2%;0.5%;0.5%;0.2%;58.4%
863;0.2%;0.4%;0.3%;0.1%;53.5%
864;0.2%;0.5%;0.5%;0.1%;47.1%
865;0.1%;0.3%;0.5%;0.2%;39.5%
866;0.1%;0.4%;0.4%;0.2%;34.4%
867;0.2%;0.5%;0.4%;0.1%;26.8%
868;0.2%;0.4%;0.5%;0.1%;20.1%
869;0.1%;0.3%;0.4%;0.1%;14.8%
870;0.2%;0.5%;0.5%;0.3%;10.9%
871;0.2%;0.5%;0.4%;0.2%;8.9%
872;0.2%;0.5%;0.4%;0.2%;6.6%
